time,date,climate,response,zero_flow,climate_interp,climate_corrupt,response_interp,phase,site,disturbance,class
104,2001-01-12,48.0568,1076.0403,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
105,2001-01-13,0.1308,158.57436,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
106,2001-01-14,0,67.96044,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
107,2001-01-15,0.0939,48.138645,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
108,2001-01-16,0,39.64359,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
109,2001-01-17,0,31.148535,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
110,2001-01-18,0,25.485165,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
111,2001-01-19,1e-4,22.370312,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
112,2001-01-20,0,18.689121,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
113,2001-01-21,0,17.839616,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
114,2001-01-22,0,16.706941,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
115,2001-01-23,0,15.857436,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
116,2001-01-24,34.8153,144.415935,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
117,2001-01-25,0.0414,36.811905,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
118,2001-01-26,20.064,141.58425,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
119,2001-01-27,0.1289,73.62381,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
120,2001-01-28,0.0087,48.138645,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
121,2001-01-29,0.0331,36.811905,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
122,2001-01-30,0.0054,31.148535,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
123,2001-01-31,0.0051,26.901007,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
124,2001-02-01,0,24.352491,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
125,2001-02-02,0,22.65348,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
126,2001-02-03,0,20.954469,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
127,2001-02-04,0,19.255458,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
128,2001-02-05,0,18.122784,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
129,2001-02-06,8e-4,17.273278,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
130,2001-02-07,0,16.706941,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
131,2001-02-08,0.0026,15.857436,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
132,2001-02-09,0.0296,18.405953,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
133,2001-02-10,30.1756,73.62381,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
134,2001-02-11,21.3125,594.65385,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
135,2001-02-12,29.1388,594.65385,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
136,2001-02-13,24.4471,1812.2784,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
137,2001-02-14,23.5533,424.75275,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
138,2001-02-15,4.2677,249.18828,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
139,2001-02-16,0,164.23773,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
140,2001-02-17,0,133.089195,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
141,2001-02-18,3.7405,107.60403,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
142,2001-02-19,19.5108,246.356595,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
143,2001-02-20,5.0306,184.059525,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
144,2001-02-21,0.0193,124.59414,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
145,2001-02-22,0.0049,96.27729,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
146,2001-02-23,3.1521,87.782235,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
147,2001-02-24,15.6586,178.396155,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
148,2001-02-25,7.4601,339.8022,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
149,2001-02-26,23.8301,991.08975,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
150,2001-02-27,0.0389,396.4359,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
151,2001-02-28,2.9003,249.18828,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
152,2001-03-01,0.7117,178.396155,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
153,2001-03-02,0.1784,141.58425,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
154,2001-03-03,0,121.762455,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
155,2001-03-04,25.7521,3398.022,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
156,2001-03-05,172.6661,12374.46345,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
157,2001-03-06,59.4688,6541.19235,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
158,2001-03-07,0.339,1642.3773,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
159,2001-03-08,0.0046,877.82235,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
160,2001-03-09,0.2015,566.337,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
161,2001-03-10,0.7438,424.75275,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
162,2001-03-11,0,311.48535,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
163,2001-03-12,0.1302,266.17839,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
